French_Muni;Swiss_Muni;local_admin_unit_id_from;local_admin_unit_id_to;nb_vehicles
Cernay - Rhin (Haut-) - fr-68063;Delémont - Jura - ch-6711;fr-68063;ch-6711;0.585283616
Chalampé - Rhin (Haut-) - fr-68064;Basel - Bâle-Ville - ch-2701;fr-68064;ch-2701;24.43502645
Chavannes-sur-l'Étang - Rhin (Haut-) - fr-68065;Basel - Bâle-Ville - ch-2701;fr-68065;ch-2701;5.260583585
Colmar - Rhin (Haut-) - fr-68066;Basel - Bâle-Ville - ch-2701;fr-68066;ch-2701;47.31450772
Colmar - Rhin (Haut-) - fr-68066;Riehen - Bâle-Ville - ch-2703;fr-68066;ch-2703;0.933983278
Colmar - Rhin (Haut-) - fr-68066;Boncourt - Jura - ch-6774;fr-68066;ch-6774;0.488816046
Colmar - Rhin (Haut-) - fr-68066;Delémont - Jura - ch-6711;fr-68066;ch-6711;1.035337118
Colmar - Rhin (Haut-) - fr-68066;Porrentruy - Jura - ch-6800;fr-68066;ch-6800;0.934160993
Courtavon - Rhin (Haut-) - fr-68067;Basel - Bâle-Ville - ch-2701;fr-68067;ch-2701;2.764753449
Dannemarie - Rhin (Haut-) - fr-68068;Basel - Bâle-Ville - ch-2701;fr-68068;ch-2701;14.08268723
Dessenheim - Rhin (Haut-) - fr-68069;Basel - Bâle-Ville - ch-2701;fr-68069;ch-2701;1.478617129
Diefmatten - Rhin (Haut-) - fr-68071;Basel - Bâle-Ville - ch-2701;fr-68071;ch-2701;2.050530268
Dietwiller - Rhin (Haut-) - fr-68072;Basel - Bâle-Ville - ch-2701;fr-68072;ch-2701;33.84353489
Dietwiller - Rhin (Haut-) - fr-68072;Delémont - Jura - ch-6711;fr-68072;ch-6711;0.740564989
Dolleren - Rhin (Haut-) - fr-68073;Basel - Bâle-Ville - ch-2701;fr-68073;ch-2701;1.308670251
Durlinsdorf - Rhin (Haut-) - fr-68074;Basel - Bâle-Ville - ch-2701;fr-68074;ch-2701;4.117024313
Durmenach - Rhin (Haut-) - fr-68075;Basel - Bâle-Ville - ch-2701;fr-68075;ch-2701;6.101294523
Durrenentzen - Rhin (Haut-) - fr-68076;Basel - Bâle-Ville - ch-2701;fr-68076;ch-2701;1.02992063
Eglingen - Rhin (Haut-) - fr-68077;Basel - Bâle-Ville - ch-2701;fr-68077;ch-2701;2.697111142
Eguisheim - Rhin (Haut-) - fr-68078;Basel - Bâle-Ville - ch-2701;fr-68078;ch-2701;1.376630989
Elbach - Rhin (Haut-) - fr-68079;Basel - Bâle-Ville - ch-2701;fr-68079;ch-2701;1.711431858
Emlingen - Rhin (Haut-) - fr-68080;Basel - Bâle-Ville - ch-2701;fr-68080;ch-2701;2.061628209
Saint-Bernard - Rhin (Haut-) - fr-68081;Basel - Bâle-Ville - ch-2701;fr-68081;ch-2701;3.959975272
Ensisheim - Rhin (Haut-) - fr-68082;Basel - Bâle-Ville - ch-2701;fr-68082;ch-2701;18.39151383
Eschentzwiller - Rhin (Haut-) - fr-68084;Basel - Bâle-Ville - ch-2701;fr-68084;ch-2701;34.88939237
Eschentzwiller - Rhin (Haut-) - fr-68084;Delémont - Jura - ch-6711;fr-68084;ch-6711;0.763450466
Eteimbes - Rhin (Haut-) - fr-68085;Basel - Bâle-Ville - ch-2701;fr-68085;ch-2701;2.894876601
Falkwiller - Rhin (Haut-) - fr-68086;Basel - Bâle-Ville - ch-2701;fr-68086;ch-2701;1.560423165
Feldbach - Rhin (Haut-) - fr-68087;Basel - Bâle-Ville - ch-2701;fr-68087;ch-2701;3.329989375
Feldkirch - Rhin (Haut-) - fr-68088;Basel - Bâle-Ville - ch-2701;fr-68088;ch-2701;25.68271991
Fellering - Rhin (Haut-) - fr-68089;Basel - Bâle-Ville - ch-2701;fr-68089;ch-2701;4.152459638
Ferrette - Rhin (Haut-) - fr-68090;Basel - Bâle-Ville - ch-2701;fr-68090;ch-2701;5.405152437
Fessenheim - Rhin (Haut-) - fr-68091;Basel - Bâle-Ville - ch-2701;fr-68091;ch-2701;2.003145768
Fislis - Rhin (Haut-) - fr-68092;Basel - Bâle-Ville - ch-2701;fr-68092;ch-2701;2.999871587
Flaxlanden - Rhin (Haut-) - fr-68093;Basel - Bâle-Ville - ch-2701;fr-68093;ch-2701;36.18633545
Flaxlanden - Rhin (Haut-) - fr-68093;Delémont - Jura - ch-6711;fr-68093;ch-6711;0.791830203
Folgensbourg - Rhin (Haut-) - fr-68094;Basel - Bâle-Ville - ch-2701;fr-68094;ch-2701;23.4122906
